file_id,archived_at,grid_per_filename,grid_per_internal_params,labels_agree,params_source,instance,load_scale,n_buses,n_lines,n_candidates,k_budget,seed,time_budget_s,outcome,seal_convention,content_hash,bitcoin_blocks,github_raw
EXP-0033-001,2026-07-24,IEEE case14,IEEE case14,yes,instance_params (esquema legado),case14_stress3.0_K14_seed42,3.0,,,14,5,42,120.0,not yet — classical wins,v1-legada,sha256:4daa59473badec9f136051f98dcb77aacc3aa8cb0adb48648340b40628421746,959429 959437 959442,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0033-001__20260724T1343Z__qaoa-vs-cpsat--eon-grid-case14-seed42.json
EXP-0033-002,2026-07-24,IEEE case14,IEEE case14,yes,instance_params (esquema legado),case14_stress3.0_K14_seed43,3.0,,,14,5,43,120.0,not yet — classical wins,v1-legada,sha256:977e3b97ea55e589746ebafa46adf552b954a2dc710dddf88a0162be4ffabc14,959429 959437 959442,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0033-002__20260724T1343Z__qaoa-vs-cpsat--eon-grid-case14-seed43.json
EXP-0033-003,2026-07-24,IEEE case14,IEEE case14,yes,instance_params (esquema legado),case14_stress3.0_K14_seed44,3.0,,,14,5,44,120.0,not yet — classical wins,v1-legada,sha256:b7b62a0285caa64aba910c2a35d37a56e1dc8210b842a2bb322ca92dafdcf0b8,959429 959437 959442,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0033-003__20260724T1343Z__qaoa-vs-cpsat--eon-grid-case14-seed44.json
EXP-0033-004,2026-07-24,IEEE case30,IEEE case14,NO,instance_params (esquema legado),case14_stress2.2_K16_seed42,2.2,,,16,6,42,120.0,not yet — classical wins,v1-legada,sha256:881c128ab5b184d29ec7530214040a44fd1659a82a544c3b94f6a42bd08c349a,959437 959442 959492,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0033-004__20260724T1354Z__qaoa-vs-cpsat--eon-grid-case30-seed42.json
EXP-0033-005,2026-07-24,IEEE case30,IEEE case14,NO,instance_params (esquema legado),case14_stress2.2_K16_seed43,2.2,,,16,6,43,120.0,not yet — classical wins,v1-legada,sha256:acd3b2ac8d5c25b41c15dd81e39ee20a53b4063294e3017cbe69db852ff15d31,959437 959442 959492,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0033-005__20260724T1354Z__qaoa-vs-cpsat--eon-grid-case30-seed43.json
EXP-0033-006,2026-07-24,IEEE case30,IEEE case14,NO,instance_params (esquema legado),case14_stress2.2_K16_seed44,2.2,,,16,6,44,120.0,not yet — classical wins,v1-legada,sha256:0d42d3acd62042c3a37a90b6ecb4e63bdd73b3932319ad8195afc8e70a4baac2,959437 959442,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0033-006__20260724T1427Z__qaoa-vs-cpsat--eon-grid-case30-seed44.json
EXP-0033-007,2026-07-24,IEEE case30,IEEE case14,NO,instance_params (esquema legado),case14_stress2.2_K16_seed45,2.2,,,16,6,45,120.0,not yet — classical wins,v1-legada,sha256:00c1812593489f32168f27cd70a7e5c8ef676774670b2f4c7b4d0fa8f4026856,959437 959442 959492,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0033-007__20260724T1427Z__qaoa-vs-cpsat--eon-grid-case30-seed45.json
EXP-0033-008,2026-07-24,IEEE case30,IEEE case14,NO,instance_params (esquema legado),case14_stress2.2_K16_seed46,2.2,,,16,6,46,120.0,not yet — classical wins,v1-legada,sha256:545b2390e27e82e17a7d7e8f9b810f2666ccf2fc4afe2893dfecb56399c93eef,959437 959442 959492,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0033-008__20260724T1427Z__qaoa-vs-cpsat--eon-grid-case30-seed46.json
EXP-0033-009,2026-07-24,IEEE case118,IEEE case14,NO,instance_params (esquema legado),case14_stress1.8_K16_seed42,1.8,,,16,6,42,120.0,not yet — classical wins,v1-legada,sha256:f7a0b53734228357c11881dc9cb4c180b163f5c2bcce420b694f21cf1a612112,959437 959442 959492,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/07/RosettaQ__RUN__EXP-0033-009__20260724T1427Z__qaoa-vs-cpsat--eon-grid-case118-seed42.json
RQ-EXP-EON-C-K08-003,2026-08-13,IEEE case118,IEEE case118,yes,censo_de_la_red + el_tamano_del_problema (v3),,,118,173,8,5,,2400.0,tie,v3,sha256:ea73ba4daf45d8b50b8d872088e3b445fc7d13324326dc36901f4064fcb93d16,pending,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/08/RosettaQ__RUN__RQ-EXP-EON-C-K08-003__20260813T2100Z__red-fija-case118-K8-conv400--empate.json
RQ-EXP-EON-C-K12-003,2026-08-13,IEEE case118,IEEE case118,yes,censo_de_la_red + el_tamano_del_problema (v3),,,118,173,12,5,,2400.0,not yet — classical wins,v3,sha256:3477cad0118e1906e299453498dbba87df21cd4673097e62839e3e62a207ad76,pending,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/08/RosettaQ__RUN__RQ-EXP-EON-C-K12-003__20260813T2100Z__red-fija-case118-K12-conv400--clasico-gana.json
RQ-EXP-EON-C-K16-003,2026-08-13,IEEE case118,IEEE case118,yes,censo_de_la_red + el_tamano_del_problema (v3),,,118,173,16,5,,2400.0,not yet — classical wins,v3,sha256:e5b8031b1b378cb5c7d1b8f35530b786347e23768d90ffe97e2290652e1a0d2c,pending,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/08/RosettaQ__RUN__RQ-EXP-EON-C-K16-003__20260813T2100Z__red-fija-case118-K16-conv400--clasico-gana.json
RQ-EXP-EON-C-K20-TRUNCADO-003,2026-08-13,IEEE case118,IEEE case118,yes,censo_de_la_red + el_tamano_del_problema (v3),,,118,173,20,5,,2400.0,not yet — classical wins,v3,sha256:a44679d9e4873da4a6bf49842b2ac1eaa24a761828ac57876b29babf0da19e99,pending,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/08/RosettaQ__RUN__RQ-EXP-EON-C-K20-TRUNCADO-003__20260813T2200Z__red-fija-case118-K20--TRUNCADO-40-de-400-pasos.json
RQ-EXP-EON-CASE118-001,2026-08-13,IEEE case118,IEEE case118,yes,censo_de_la_red + el_tamano_del_problema (v3),,,118,173,14,5,,,not yet — classical wins,v3,sha256:0431dcb6026eb20af13b6fac347e950965b1e49dc3e9dc968e436414cbea8384,pending,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/08/RosettaQ__RUN__RQ-EXP-EON-CASE118-001__20260813T1200Z__expansion-de-red-case118-escala-utility--clasico-gana.json
RQ-EXP-EON-CASE14-001,2026-08-13,IEEE case14,IEEE case14,yes,censo_de_la_red + el_tamano_del_problema (v3),,,14,15,14,5,,,not yet — classical wins,v3,sha256:7094b8b509bb82f439de1df9ab6ecf5194ce9b6f48f4b9b624c257dbc3202a2a,pending,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/08/RosettaQ__RUN__RQ-EXP-EON-CASE14-001__20260813T1200Z__expansion-de-red-case14--clasico-gana.json
RQ-EXP-EON-CASE30-001,2026-08-13,IEEE case30,IEEE case30,yes,censo_de_la_red + el_tamano_del_problema (v3),,,30,41,14,5,,,not yet — classical wins,v3,sha256:6721896b01c4200ba232e11a25b4ab0e1ee8c53d544152d6847c0b9f4eaf29d8,pending,https://raw.githubusercontent.com/RosettaQuantum/evidence/main/runs/2026/08/RosettaQ__RUN__RQ-EXP-EON-CASE30-001__20260813T1200Z__expansion-de-red-case30--clasico-gana.json
